URL;type ;type2;type3;source
100percentfedup.com;Fake news;;;1
12minutos.com;Fake news;;;1
16wmpo.com;Fake news;;;1
20minutenews.com;Fake news;;;1
247newsmedia.com;Fake news;;;1
24aktuelles.com;Fake news;;;1
24online.news;Fake news;;;1
24usainfo.com;Fake news;;;1
24wpn.com;Fake news;;;1
24x365live.com;Fake news;;;1
2ndvote.com;Fake news;;;1
365usnews.com;Fake news;;;1
abcnews.com.co;Fake news;;;1
abcnews-us.com;Fake news;;;1
activistpost.com;Fake news;;;1
actualidadpanamericana.com;Fake news;;;1
actualite.co;Fake news;;;1
actualites.co;Fake news;;;1
adobochronicles.com;Fake news;;;1
afa.net;Fake news;;;1
ahtribune.com;Fake news;;;1
alabamaobserver.com;Fake news;;;1
albertatimes.com;Fake news;;;1
aldipest.com;Fake news;;;1
alertchild.com;Fake news;;;1
allenbwest.com;Fake news;;;1
allenwestrepublic.com;Fake news;;;1
alynews.com;Fake news;;;1
americafans.com;Fake news;;;1
americanflare.com;Fake news;;;1
americanflavor.news;Fake news;;;1
americanjournalreview.com;Fake news;;;1
americannews.com;Fake news;;;1
americanpeoplenetwork.com;Fake news;;;1
americanpoliticnews.co;Fake news;;;1
americanpresident.co;Fake news;;;1
americanprides.com;Fake news;;;1
americantoday.news;Fake news;;;1
americantoday.us;Fake news;;;1
americasfreedomfighters.com;Fake news;;;1
americasnewest.com;Fake news;;;1
amposts.com;Fake news;;;1
anews-24.com;Fake news;;;1
a-news24.com;Fake news;;;1
anews24.org;Fake news;;;1
angrypatriotmovement.com;Fake news;;;1
anonews.co;Fake news;;;1
anonhq.com;Fake news;;;1
anonjekloy.tk;Fake news;;;1
antinews.com;Fake news;;;1
areyouasleep.com;Fake news;;;1
areyousleep.com;Fake news;;;1
armyusanews.com;Fake news;;;1
asamericanasapplepie.org;Fake news;;;1
associatedmediacoverage.com;Fake news;;;1
attitude.co.uk;Fake news;;;1
aurora-news.us;Fake news;;;1
awarenessact.com;Fake news;;;1
babylonbee.com;Fake news;;;1
badcriminals.com;Fake news;;;1
baldwinpost.com;Fake news;;;1
baltimoregazette.com;Fake news;;;1
barenakedislam.com;Fake news;;;1
battypost.com;Fake news;;;1
bb4sp.com;Fake news;;;1
beforeitsnews.com;Fake news;;;1
belgique.actualites.co;Fake news;;;1
benjaminfulford.typepad.com;Fake news;;;1
bestthings.us;Fake news;;;1
bients.com;Fake news;;;1
bigbluevision.org;Fake news;;;1
bignuggetnews.com;Fake news;;;1
bipartisanreport.com;Fake news;;;1
bizstandardnews.com;Fake news;;;1
blackinsurancenews.com;Fake news;;;1
blog.veterantv.net;Fake news;;;1
bluelinestrong.net;Fake news;;;1
bluevision.news;Fake news;;;1
bluevisionpost.com;Fake news;;;1
borderherald.com;Fake news;;;1
bostonleader.com;Fake news;;;1
bostontribune.com;Fake news;;;1
breakingnews247.net;Fake news;;;1
breakingnews365.net;Fake news;;;1
breakingnewsblast.com;Fake news;;;1
breakingtop.world;Fake news;;;1
burrardstreetjournal.com;Fake news;;;1
